Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-30,Braveheart,1995,https://boxd.it/3h0JMV,3,,,2018-08-31
2022-09-30,American Beauty,1999,https://boxd.it/3h0Kgr,0.5,,,2018-08-31
2022-09-30,"Everything, Everything",2017,https://boxd.it/3h0KXP,1,,,2018-09-14
2022-09-30,The Disenchantment,1976,https://boxd.it/3h0L0z,2.5,,,2018-09-14
2022-09-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/3h0KEt,0.5,,,2019-08-16
2022-09-30,Justice League,2017,https://boxd.it/3h0Lst,2.5,,,2019-09-22
2022-09-30,Oculus,2013,https://boxd.it/3h0Kr5,3.5,,,2020-03-11
2022-09-30,Split,2016,https://boxd.it/3h0KXl,1.5,,,2020-04-06
2022-09-30,Life,2017,https://boxd.it/3h0L1x,3,,,2020-04-30
2022-09-30,Hamilton,2020,https://boxd.it/3h0LhP,1.5,,,2020-08-19
2022-09-30,Black Mirror,2011,https://boxd.it/3h0Kn3,3.5,,,2021-04-25
2022-09-30,Euphoria,2018,https://boxd.it/3h0LjL,4.5,,,2021-04-25
2022-09-30,Happy Death Day,2017,https://boxd.it/3h0L05,0.5,,,2021-04-27
2022-09-30,Scott Pilgrim vs. the World,2010,https://boxd.it/3h0KQT,3.5,,,2022-06-21
2022-09-30,Ferris Bueller's Day Off,1986,https://boxd.it/3h0Lmv,3.5,,,2022-06-21
2022-11-01,Ultraviolet,2006,https://boxd.it/3nJbzx,0.5,,,2022-07-21
2022-09-30,Brave,2012,https://boxd.it/3h0JXT,3.5,,,2022-08-26
2022-09-30,Iron Man 3,2013,https://boxd.it/3h0K2f,1,,,2022-08-26
2022-09-30,Rise of the Guardians,2012,https://boxd.it/3h0K6V,4,,,2022-08-26
2022-09-30,Now You See Me,2013,https://boxd.it/3h0KfD,2.5,,,2022-08-26
2022-09-30,Wreck-It Ralph,2012,https://boxd.it/3h0Kjb,3,,,2022-08-26
2022-09-30,Black Panther,2018,https://boxd.it/3h0KjP,4,,,2022-08-26
2022-09-30,Hotel Transylvania 2,2015,https://boxd.it/3h0Ktb,2.5,,,2022-08-26
2022-09-30,Big Fish,2003,https://boxd.it/3h0KB5,2,,,2022-08-26
2022-09-30,Sing,2016,https://boxd.it/3h0KFh,1,,,2022-08-26
2022-09-30,Moana,2016,https://boxd.it/3h0KGf,3.5,,,2022-08-26
2022-09-30,Iron Man,2008,https://boxd.it/3h0KIP,2,,,2022-08-26
2022-09-30,La La Land,2016,https://boxd.it/3h0KJt,4,,,2022-08-26
2022-09-30,Tangled,2010,https://boxd.it/3h0KMx,4,,,2022-08-26
2022-09-30,The Lego Batman Movie,2017,https://boxd.it/3h0KNb,3.5,,,2022-08-26
2022-09-30,Doctor Who,1996,https://boxd.it/3h0KQp,3.5,,,2022-08-26
2022-09-30,Ralph Breaks the Internet,2018,https://boxd.it/3h0L3j,3,,,2022-08-26
2022-09-30,Carrie,1976,https://boxd.it/3h0L9B,2.5,,,2022-08-26
2022-09-30,The Princess and the Frog,2009,https://boxd.it/3h0Lbn,3.5,,,2022-08-26
2022-09-30,Hotel Transylvania,2012,https://boxd.it/3h0Lgx,3.5,,,2022-08-26
2022-09-30,Ghostbusters,1984,https://boxd.it/3h0Ljh,3.5,,,2022-08-26
2022-09-30,Edward Scissorhands,1990,https://boxd.it/3h0LtL,3,,,2022-08-26
2022-09-30,A League of Their Own,1992,https://boxd.it/3h0LfJ,4,,,2022-08-31
2022-09-30,Alice in Wonderland,2010,https://boxd.it/3h0JER,1.5,,,2022-09-14
2022-09-30,The Nightmare Before Christmas,1993,https://boxd.it/3h0JIJ,3.5,,,2022-09-14
2022-09-30,Interview with the Vampire,1994,https://boxd.it/3h0JKl,2.5,,,2022-09-14
2022-09-30,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/3h0JUv,2.5,,,2022-09-14
2022-09-30,Corpse Bride,2005,https://boxd.it/3h0JXp,4,,,2022-09-14
2022-09-30,21 Jump Street,2012,https://boxd.it/3h0JYn,1,,,2022-09-14
2022-09-30,This Is the End,2013,https://boxd.it/3h0JZ1,0.5,,,2022-09-14
2022-09-30,Les Misérables,2012,https://boxd.it/3h0KgL,2.5,,,2022-09-14
2022-09-30,The Edge of Seventeen,2016,https://boxd.it/3h0KkD,2,,,2022-09-14
2022-09-30,Moulin Rouge!,2001,https://boxd.it/3h0Kmp,3.5,,,2022-09-14
2022-09-30,Coraline,2009,https://boxd.it/3h0KDb,3.5,,,2022-09-14
2022-09-30,Aliens,1986,https://boxd.it/3h0Lml,3.5,,,2022-09-14
2022-09-30,True Blood,1989,https://boxd.it/3h0Lh1,2,,,2022-09-27
2022-10-12,Rejected,2000,https://boxd.it/3jxvhD,1,,,2022-10-12
2022-10-14,Kate & Leopold,2001,https://boxd.it/3k3e55,2.5,,,2022-10-14
2022-10-15,Galaxy Quest,1999,https://boxd.it/3ke6NF,3.5,,,2022-10-15
2023-04-30,Fantastic Four,2005,https://boxd.it/4bDLzB,2.5,,x,2023-04-30
2023-05-16,What If,2013,https://boxd.it/4fGwP7,1.5,Yes,ruby,2023-05-16
2023-06-17,Silent Night,2021,https://boxd.it/4o4Leb,1.5,Yes,,2023-06-17
2023-06-17,Ready or Not,2019,https://boxd.it/4o4LTt,,,,2023-06-17
2023-07-20,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/4xVUAR,3.5,Yes,,2023-07-20
