Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-12,??all nighter???,,https://boxd.it/j5igS,

Position,Name,Year,URL,Description
1,After Hours,1985,https://boxd.it/1VfS,
2,Donnie Darko,2001,https://boxd.it/2b2A,
3,Little Shop of Horrors,1986,https://boxd.it/1Vqm,
4,The Iron Giant,1999,https://boxd.it/1Wow,
5,Ad Astra,2019,https://boxd.it/ePzI,
6,Coco,2017,https://boxd.it/bYJQ,
7,The House with a Clock in Its Walls,2018,https://boxd.it/gARw,
8,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
9,Cocoon,1985,https://boxd.it/1Wx4,
