Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-11,i think we're alone now,,https://boxd.it/iEcMk,

Position,Name,Year,URL,Description
1,Much Ado About Nothing,1993,https://boxd.it/1SDM,
2,Ad Astra,2019,https://boxd.it/ePzI,
3,Nowhere,1997,https://boxd.it/286E,
4,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
5,Some Like It Hot,1959,https://boxd.it/2aNA,
6,Arsenic and Old Lace,1944,https://boxd.it/2aRW,
7,The Player,1992,https://boxd.it/1WlM,
8,The Fly,1986,https://boxd.it/1YIe,
9,PlayTime,1967,https://boxd.it/1WLK,
10,Bend It Like Beckham,2002,https://boxd.it/2am0,
11,Mary Shelley,2017,https://boxd.it/aW9u,
12,August in the Water,1995,https://boxd.it/3xQE,
13,Little Ashes,2008,https://boxd.it/1jp6,
14,Fallen,2006,https://boxd.it/Emg,
15,Before Sunset,2004,https://boxd.it/2bcg,
16,Before Sunrise,1995,https://boxd.it/2bcU,
17,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,
18,Contact,1997,https://boxd.it/29OM,
19,Yi Yi,2000,https://boxd.it/1vCw,
20,Raise the Red Lantern,1991,https://boxd.it/1WlC,
21,Kamikaze Girls,2004,https://boxd.it/1ucC,
22,Girlfriends,1978,https://boxd.it/3JYU,
23,House on Haunted Hill,1959,https://boxd.it/1Ln8,
24,The Belles of St. Trinian's,1954,https://boxd.it/1TVC,
25,The Woman King,2022,https://boxd.it/r9a8,
26,The Iron Giant,1999,https://boxd.it/1Wow,
27,Before Midnight,2013,https://boxd.it/4ive,
28,Loving Vincent,2017,https://boxd.it/biIQ,
29,Brazil,1985,https://boxd.it/2be2,
30,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,
31,Goodbye Jerome!,2022,https://boxd.it/yqt6,
32,Aya of Yop City,2013,https://boxd.it/67eg,
33,Hot Rod,2007,https://boxd.it/1X9C,
34,Analyze This,1999,https://boxd.it/1Yr8,
35,Analyze That,2002,https://boxd.it/1XuK,
36,North by Northwest,1959,https://boxd.it/2aRM,
37,Planet Terror,2007,https://boxd.it/27Gw,
38,Kinky Boots,2005,https://boxd.it/1KfC,
39,Earth Girls Are Easy,1988,https://boxd.it/27bI,
40,Cold Turkey,1971,https://boxd.it/WLy,
41,Vampire's Kiss,1988,https://boxd.it/21aY,
42,The Young Girls of Rochefort,1967,https://boxd.it/26K8,
43,Shock Treatment,1981,https://boxd.it/1qui,
44,The Night of the Hunter,1955,https://boxd.it/25HW,
45,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,
46,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU,
47,Eat Drink Man Woman,1994,https://boxd.it/1Wem,
48,Lars and the Real Girl,2007,https://boxd.it/21tG,
49,Ten Inch Hero,2007,https://boxd.it/1NgS,
