Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-03,russian roulette,,https://boxd.it/l0wcI,bite the bullet baby

Position,Name,Year,URL,Description
1,Let the Right One In,2008,https://boxd.it/1Qr0,
2,mid90s,2018,https://boxd.it/fxIa,
3,Saint Frances,2019,https://boxd.it/l9w2,
4,The Others,2001,https://boxd.it/27Po,
5,The Bad Batch,2016,https://boxd.it/acEG,
6,Stardust,2007,https://boxd.it/272w,
7,Pleasantville,1998,https://boxd.it/26uY,
8,Horns,2013,https://boxd.it/4J8Q,
9,Wild Target,2010,https://boxd.it/SGk,
10,Constantine,2005,https://boxd.it/2a7E,
11,Gunpowder Milkshake,2021,https://boxd.it/l5fQ,
12,Lara Croft: Tomb Raider – The Cradle of Life,2003,https://boxd.it/27FS,
13,Addicted to Fresno,2015,https://boxd.it/9B0a,
14,Song of the Sea,2014,https://boxd.it/3Ic6,
