Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-30,August Rush,2007,https://boxd.it/3h0KPh,1.5,,,2010-06-21
2022-09-30,Elf,2003,https://boxd.it/3h0KBf,1.5,,,2010-09-29
2022-09-30,Rango,2011,https://boxd.it/3h0JSJ,1.5,,,2011-08-31
2022-09-30,Sucker Punch,2011,https://boxd.it/3h0LsX,1.5,,,2011-09-29
2022-09-30,The King's Speech,2010,https://boxd.it/3h0Kaj,3,,,2012-03-17
2022-09-30,Salt,2010,https://boxd.it/3h0Lpz,0.5,,,2013-03-15
2023-03-07,Scream,1996,https://boxd.it/3WWQln,4.5,,,2013-07-26
2022-09-30,Iron Man 2,2010,https://boxd.it/3h0JYd,1,,,2013-08-26
2022-09-30,E.T. the Extra-Terrestrial,1982,https://boxd.it/3h0LgH,1.5,,,2013-08-26
2022-09-30,50 First Dates,2004,https://boxd.it/3h0KEN,2,,,2013-09-14
2022-09-30,Dirty Dancing,1987,https://boxd.it/3h0Loh,1,,,2014-09-14
2022-09-30,We're the Millers,2013,https://boxd.it/3h0KgV,3.5,,,2015-09-14
2022-09-30,Circle,2015,https://boxd.it/3h0KzD,2.5,,,2015-09-27
2023-03-07,Waiting...,2005,https://boxd.it/3WWND9,2.5,,,2015-10-22
2023-03-07,The Fifth Element,1997,https://boxd.it/3WWPev,4,,,2016-02-26
2022-09-30,The Imitation Game,2014,https://boxd.it/3h0KmT,3.5,,,2016-08-26
2022-09-30,The Ring,2002,https://boxd.it/3h0KyZ,1.5,,,2016-09-14
2022-09-30,TRON: Legacy,2010,https://boxd.it/3h0JKF,3,,,2016-09-29
2022-09-30,Captain America: Civil War,2016,https://boxd.it/3h0KFV,1.5,,,2016-09-29
2022-09-30,Death Becomes Her,1992,https://boxd.it/3h0JFP,3,,,2016-11-25
2023-01-01,Romeo + Juliet,1996,https://boxd.it/3CE20X,2.5,,,2017-06-15
2022-09-30,Valerian and the City of a Thousand Planets,2017,https://boxd.it/3h0Kol,1.5,,,2017-06-21
2022-09-30,The Interview,2014,https://boxd.it/3h0Kwp,1,,,2017-09-14
2022-09-30,Napoleon Dynamite,2004,https://boxd.it/3h0KJ9,0.5,,,2017-09-14
2022-09-30,The Babysitter,2017,https://boxd.it/3h0KOj,1.5,,,2017-09-14
2022-09-30,Bright,2017,https://boxd.it/3h0L1R,1,,,2017-09-14
2022-09-30,Alice Through the Looking Glass,2016,https://boxd.it/3h0Kuj,1,,,2017-09-29
2022-09-30,Wonder Woman,2017,https://boxd.it/3h0KRH,2.5,,,2017-09-29
2022-09-30,Beetlejuice,1988,https://boxd.it/3h0Lq3,3,,,2018-03-22
2022-09-30,Spider-Man: Homecoming,2017,https://boxd.it/3h0KoP,3.5,,,2018-05-21
2022-09-30,Deadpool 2,2018,https://boxd.it/3h0L1H,4.5,,,2018-06-21
2022-09-30,Mute,2018,https://boxd.it/3h0K7z,3,,,2018-07-05
2023-03-07,The Man from U.N.C.L.E.,2015,https://boxd.it/3WVaFD,4.5,,,2018-07-21
2022-09-30,Shrek,2001,https://boxd.it/3h0JZP,2.5,,,2018-08-17
2022-09-30,Jumanji: Welcome to the Jungle,2017,https://boxd.it/3h0Kpt,0.5,,,2018-08-27
2022-09-30,Thor: Ragnarok,2017,https://boxd.it/3h0KG5,5,,,2018-08-27
2022-09-30,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/3h0KLp,2,,,2018-08-27
2022-09-30,Father of the Year,2018,https://boxd.it/3h0L8N,0.5,,,2018-08-27
2022-09-30,Fast Times at Ridgemont High,1982,https://boxd.it/3h0LgR,0.5,,,2018-08-27
2022-09-30,Tropic Thunder,2008,https://boxd.it/3h0Lp5,0.5,,,2018-08-27
2022-09-30,Pretty Woman,1990,https://boxd.it/3h0JE3,2,,,2018-08-28
2022-09-30,(500) Days of Summer,2009,https://boxd.it/3h0JF1,2,,,2018-08-28
2022-09-30,Wild Child,2008,https://boxd.it/3h0JFl,4,,,2018-08-28
2022-09-30,The Proposal,2009,https://boxd.it/3h0JFZ,4,,,2018-08-28
2022-09-30,Blended,2014,https://boxd.it/3h0JJx,0.5,,,2018-08-28
2022-09-30,Clueless,1995,https://boxd.it/3h0JN5,3,,,2018-08-28
2022-09-30,Hercules,1997,https://boxd.it/3h0JST,3.5,,,2018-08-28
2022-09-30,The Parent Trap,1998,https://boxd.it/3h0JUP,3.5,,,2018-08-28
2022-09-30,Practical Magic,1998,https://boxd.it/3h0JV9,5,,,2018-08-28
2022-09-30,We Need to Talk About Kevin,2011,https://boxd.it/3h0JYR,4,,,2018-08-28
2022-09-30,Easy A,2010,https://boxd.it/3h0K1r,3.5,,,2018-08-28
2022-09-30,Bad Teacher,2011,https://boxd.it/3h0K1L,2,,,2018-08-28
2022-09-30,How to Be Single,2016,https://boxd.it/3h0K25,1,,,2018-08-28
2022-09-30,Deadpool,2016,https://boxd.it/3h0K6r,5,,,2018-08-28
2022-09-30,10 Things I Hate About You,1999,https://boxd.it/3h0K8d,5,,,2018-08-28
2022-09-30,Just Go with It,2011,https://boxd.it/3h0KaN,1,,,2018-08-28
2022-09-30,Warm Bodies,2013,https://boxd.it/3h0Kbh,1,,,2018-08-28
2022-09-30,Friends with Benefits,2011,https://boxd.it/3h0Ke1,1,,,2018-08-28
2022-09-30,The DUFF,2015,https://boxd.it/3h0Kft,1,,,2018-08-28
2022-09-30,Moonrise Kingdom,2012,https://boxd.it/3h0KiH,4,,,2018-08-28
2022-09-30,This Is 40,2012,https://boxd.it/3h0Kj1,3,,,2018-08-28
2022-09-30,Carrie,2013,https://boxd.it/3h0Klh,3.5,,,2018-08-28
2022-09-30,Pitch Perfect,2012,https://boxd.it/3h0KlB,2.5,,,2018-08-28
2022-09-30,What Women Want,2000,https://boxd.it/3h0Kmz,0.5,,,2018-08-28
