Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-29,best of the worst,,https://boxd.it/mxq6k,

Position,Name,Year,URL,Description
1,The Cat in the Hat,2003,https://boxd.it/1VSU,
2,This Means War,2012,https://boxd.it/hba,
3,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg,
4,Waiting...,2005,https://boxd.it/20Pw,
5,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,
6,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,
7,The Pacifier,2005,https://boxd.it/1Xhm,
