Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-12,comedies that include at least one lesbian,,https://boxd.it/iF8gm,the bar is set to: is there a lesbian here & did i think it's a funny movie/ do i think this will be a funny movie... if you find this please give me reccomendations

Position,Name,Year,URL,Description
1,Grandma,2015,https://boxd.it/9V00,
2,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
3,Booksmart,2019,https://boxd.it/igNS,
4,D.E.B.S.,2003,https://boxd.it/5sBy,
5,D.E.B.S.,2004,https://boxd.it/2aaS,
6,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
7,Saving Face,2004,https://boxd.it/1Fj0,
8,Shiva Baby,2020,https://boxd.it/oIv0,
9,This Is Where I Leave You,2014,https://boxd.it/73kQ,
10,Waiting...,2005,https://boxd.it/20Pw,
11,Assassination Nation,2018,https://boxd.it/fSIq,
12,Imagine Me & You,2005,https://boxd.it/28E2,
13,I Can't Think Straight,2008,https://boxd.it/1jAI,
14,Plan B,2021,https://boxd.it/rUMy,
15,Blockers,2018,https://boxd.it/fxEW,
16,Kissing Jessica Stein,2001,https://boxd.it/1LPc,
17,The Intervention,2016,https://boxd.it/bO52,
18,Happiest Season,2020,https://boxd.it/iS3I,
19,The Incredibly True Adventure of Two Girls in Love,1995,https://boxd.it/1nDc,
20,Election,1999,https://boxd.it/1YEc,
21,All Cheerleaders Die,2013,https://boxd.it/6ipk,
22,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
23,I Care a Lot,2020,https://boxd.it/mcHk,
