Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-21,"hey men, stop writing rape stories",,https://boxd.it/jdv3o,your voyeurism is showing

Position,Name,Year,URL,Description
1,"Love, Death & Robots: Jibaro",2022,https://boxd.it/EqO6,
2,Belladonna of Sadness,1973,https://boxd.it/2q,
3,I Spit on Your Grave,2010,https://boxd.it/Tbs,
4,Sucker Punch,2011,https://boxd.it/1yYg,
5,Heathers,1988,https://boxd.it/26x4,
6,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
7,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
