Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-22,i could smoke rn yea,,https://boxd.it/iNnGg,

Position,Name,Year,URL,Description
1,Halloweentown,1998,https://boxd.it/1qPq,
2,Scary Godmother: Halloween Spooktakular,2003,https://boxd.it/Ia4,
3,Billy & Mandy's Big Boogey Adventure,2007,https://boxd.it/1IRk,
4,Bratz: Fashion Pixiez,2007,https://boxd.it/gLQ,
5,Monster High: Fright On!,2011,https://boxd.it/6I56,
6,Monster High: Why Do Ghouls Fall in Love?,2012,https://boxd.it/5bDM,
7,Girl vs. Monster,2012,https://boxd.it/4r7K,
8,Bring It On,2000,https://boxd.it/28x6,
