Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-05,My fave hit and runs ,,https://boxd.it/iZule,

Position,Name,Year,URL,Description
1,A Simple Favor,2018,https://boxd.it/hq92,
2,Amsterdam,2022,https://boxd.it/oJ58,
3,An American Werewolf in London,1981,https://boxd.it/29yk,
4,Meet Joe Black,1998,https://boxd.it/2aEI,
5,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
6,Run Lola Run,1998,https://boxd.it/2b8o,
7,The Nice Guys,2016,https://boxd.it/94Hg,
8,Babylon,2022,https://boxd.it/mM02,
9,This Is the End,2013,https://boxd.it/3GB4,
10,Batman Returns,1992,https://boxd.it/2awa,
11,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,
12,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,
