Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-23,oh look it's my personality,,https://boxd.it/jf2Eu,

Position,Name,Year,URL,Description
1,About Time,2013,https://boxd.it/43bI,
2,The Nice Guys,2016,https://boxd.it/94Hg,
3,The Thing,1982,https://boxd.it/294O,
4,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
5,The Fifth Element,1997,https://boxd.it/71k,
6,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
7,Alien,1979,https://boxd.it/2awY,
8,The Suicide Squad,2021,https://boxd.it/fw6O,
9,An American Werewolf in London,1981,https://boxd.it/29yk,
10,"Night Is Short, Walk on Girl",2017,https://boxd.it/ffwA,
11,Thelma & Louise,1991,https://boxd.it/28Ew,
12,The Menu,2022,https://boxd.it/lScm,
13,Prey,2022,https://boxd.it/sNBU,
14,Fargo,1996,https://boxd.it/2aHM,
15,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,
16,The Shape of Water,2017,https://boxd.it/dZ5m,
17,Little Miss Sunshine,2006,https://boxd.it/29EW,
18,Spotlight,2015,https://boxd.it/a84k,
19,Shiva Baby,2020,https://boxd.it/oIv0,
20,The Birdcage,1996,https://boxd.it/1UTi,
21,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
22,Feels Good Man,2020,https://boxd.it/oigS,
23,Plan B,2021,https://boxd.it/rUMy,
24,Django Unchained,2012,https://boxd.it/2cCk,
25,SLC Punk,1998,https://boxd.it/21JY,
26,Trainspotting,1996,https://boxd.it/29XY,
27,Hard Candy,2005,https://boxd.it/26vs,
28,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
29,Palm Springs,2020,https://boxd.it/lCXQ,
30,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
31,Juno,2007,https://boxd.it/210a,
32,Aliens,1986,https://boxd.it/29PA,
33,Train to Busan,2016,https://boxd.it/dSQU,
34,Jennifer's Body,2009,https://boxd.it/1Efw,
35,Four Weddings and a Funeral,1994,https://boxd.it/29KA,
36,Knives Out,2019,https://boxd.it/jWEA,
37,Werewolves Within,2021,https://boxd.it/u8fC,
38,Wild Tales,2014,https://boxd.it/7UmK,
39,Whip It,2009,https://boxd.it/1A3m,
40,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
41,What We Do in the Shadows,2014,https://boxd.it/7eQy,
42,Léon: The Professional,1994,https://boxd.it/2b8S,
43,Parasite,2019,https://boxd.it/hTha,
44,The Farewell,2019,https://boxd.it/kIky,
45,1917,2019,https://boxd.it/jj4y,
46,Princess Mononoke,1997,https://boxd.it/2b4w,
47,Midsommar,2019,https://boxd.it/jhxe,
48,"Juliet, Naked",2018,https://boxd.it/gnaE,
49,Your Name.,2016,https://boxd.it/cUqs,
50,Pride & Prejudice,2005,https://boxd.it/24u8,
51,"I, Tonya",2017,https://boxd.it/dzR0,
52,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk,
53,After Yang,2021,https://boxd.it/lx5a,
54,Whiplash,2014,https://boxd.it/7bQA,
55,Attack the Block,2011,https://boxd.it/hFO,
56,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
57,Nine to Five,1980,https://boxd.it/1F2S,
58,John Wick,2014,https://boxd.it/7dEc,
59,Fright Night,2011,https://boxd.it/l1S,
60,In the Loop,2009,https://boxd.it/1EsA,
61,Starship Troopers,1997,https://boxd.it/2a7k,
62,WarGames,1983,https://boxd.it/29qU,
63,Blindspotting,2018,https://boxd.it/hDMw,
64,Men in Black,1997,https://boxd.it/2a0I,
65,Being John Malkovich,1999,https://boxd.it/2ahu,
66,BlacKkKlansman,2018,https://boxd.it/hxL8,
67,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
68,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
69,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
70,Run Lola Run,1998,https://boxd.it/2b8o,
71,Barbarella,1968,https://boxd.it/20Ba,
72,The Age of Adaline,2015,https://boxd.it/9ghu,
73,Peninsula,2020,https://boxd.it/lnrU,
74,Fight Club,1999,https://boxd.it/2a9q,
75,Fried Green Tomatoes,1991,https://boxd.it/28qY,
76,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
77,Waiting...,2005,https://boxd.it/20Pw,
78,Zola,2020,https://boxd.it/jEWQ,
79,Punch-Drunk Love,2002,https://boxd.it/20E4,
80,The Last Days of Disco,1998,https://boxd.it/1JpQ,
81,Emma.,2020,https://boxd.it/kmg0,
82,Mars Attacks!,1996,https://boxd.it/2bd4,
