Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-09,ruby,,https://boxd.it/mcbew,

Position,Name,Year,URL,Description
1,An Evening with Beverly Luff Linn,2018,https://boxd.it/fUcw,
2,Chicago,2002,https://boxd.it/28zm,
3,Bride & Prejudice,2004,https://boxd.it/lM0,
4,"Yes, God, Yes",2019,https://boxd.it/jaGS,
5,Stop Making Sense,1984,https://boxd.it/1ygo,
6,Judas and the Black Messiah,2021,https://boxd.it/lsew,
7,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
8,Codependent Lesbian Space Alien Seeks Same,2011,https://boxd.it/3zUy,
9,Down with Love,2003,https://boxd.it/1VyA,
10,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,https://boxd.it/1ULy,
11,The Final Exit of the Disciples of Ascensia,2019,https://boxd.it/mpRC,
12,Gravity,2013,https://boxd.it/GZY,
13,Malcolm X,1992,https://boxd.it/27WE,
14,Ten Inch Hero,2007,https://boxd.it/1NgS,
15,Catherine Called Birdy,2022,https://boxd.it/tUS6,
16,Airplane!,1980,https://boxd.it/29yu,
17,Coco,2017,https://boxd.it/bYJQ,
18,Her,2013,https://boxd.it/4O24,
19,ParaNorman,2012,https://boxd.it/2FuY,
20,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,
