Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-30,she's limited,,https://boxd.it/myzMc,

Position,Name,Year,URL,Description
1,This Is Going to Hurt,2022,https://boxd.it/B0Gk,
2,Buddy Daddies,2023,https://boxd.it/G0Te,
3,Good Omens,2019,https://boxd.it/jUOI,
4,Chernobyl,2019,https://boxd.it/mkbG,
5,The Gay and Wondrous Life of Caleb Gallo,2016,https://boxd.it/npHY,
6,The Haunting of Hill House,2018,https://boxd.it/kfJ0,
7,Panty & Stocking with Garterbelt,2010,https://boxd.it/pIhu,
8,Big Little Lies,2017,https://boxd.it/fYde,
9,Baccano!,2007,https://boxd.it/pnSu,
10,Over the Garden Wall,2014,https://boxd.it/eqFw,
