Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-21,shorties,,https://boxd.it/kI1Lc,

Position,Name,Year,URL,Description
1,Kick-Heart,2013,https://boxd.it/590o,
2,Too Many Cooks,2014,https://boxd.it/9AIK,
3,Magnifica,2022,https://boxd.it/Dlrk,
4,Under This Luminous Sky,2022,https://boxd.it/BCgY,
5,Ghosts of Sugar Land,2019,https://boxd.it/lz52,
6,Period. End of Sentence.,2018,https://boxd.it/j2oQ,
7,Hysterical Girl,2020,https://boxd.it/pAOU,
8,"Love, Death & Robots: Good Hunting",2019,https://boxd.it/lJFO,
9,Isle of Flowers,1989,https://boxd.it/POU,
10,The Legend of Pipi,2022,https://boxd.it/BOvw,
11,Sundown,2020,https://boxd.it/sGeO,
12,Far from the Tree,2021,https://boxd.it/vmgc,
