Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-14,sox,,https://boxd.it/iGzZg,

Position,Name,Year,URL,Description
1,Flee,2021,https://boxd.it/ponM,
2,Shiva Baby,2020,https://boxd.it/oIv0,
3,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,
4,SLC Punk,1998,https://boxd.it/21JY,
5,Thoroughbreds,2017,https://boxd.it/dVHQ,
6,The Blob,1988,https://boxd.it/1YgY,
7,PlayTime,1967,https://boxd.it/1WLK,
8,The Farewell,2019,https://boxd.it/kIky,
9,Polyester,1981,https://boxd.it/1Oq0,
10,WarGames,1983,https://boxd.it/29qU,
11,An American Werewolf in London,1981,https://boxd.it/29yk,
12,Attack the Block,2011,https://boxd.it/hFO,
13,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,
14,My Life as a Zucchini,2016,https://boxd.it/dL2y,
15,Werewolves Within,2021,https://boxd.it/u8fC,
16,The Breadwinner,2017,https://boxd.it/frLs,
17,Swing Girls,2004,https://boxd.it/1ag0,
18,Lady Vengeance,2005,https://boxd.it/248G,
