Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-15,top horror,,https://boxd.it/nRM32,"horror that just,, has the horror so good that I felt Real Fear

* Zombie island fucked me up as a kid
** i made this just so that i could draw attention to how perfectly stepford wives showed the fear of being assimilated into an oppressive culture, the loss of identity, of agency..."

Position,Name,Year,URL,Description
1,Scooby-Doo on Zombie Island,1998,https://boxd.it/1QIg,
2,The Stepford Wives,1975,https://boxd.it/1Sfq,
3,Alien,1979,https://boxd.it/2awY,
4,The Thing,1982,https://boxd.it/294O,
5,The Haunting of Hill House,2018,https://boxd.it/kfJ0,
6,Suspiria,2018,https://boxd.it/cioI,
7,Midsommar,2019,https://boxd.it/jhxe,
8,Train to Busan,2016,https://boxd.it/dSQU,
9,Get Out,2017,https://boxd.it/eOCm,
10,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
11,The Girl with All the Gifts,2016,https://boxd.it/d2lg,
12,Scream,1996,https://boxd.it/24EC,
13,An American Werewolf in London,1981,https://boxd.it/29yk,
