Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-10,top tier sci-fi,,https://boxd.it/l9w3a,

Position,Name,Year,URL,Description
1,Prey,2022,https://boxd.it/sNBU,
2,The Thing,1982,https://boxd.it/294O,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
5,Treasure Planet,2002,https://boxd.it/1Znm,
6,The Fifth Element,1997,https://boxd.it/71k,
7,WarGames,1983,https://boxd.it/29qU,
8,Starship Troopers,1997,https://boxd.it/2a7k,
9,Palm Springs,2020,https://boxd.it/lCXQ,
10,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
11,Alien,1979,https://boxd.it/2awY,
12,Aliens,1986,https://boxd.it/29PA,
13,Men in Black,1997,https://boxd.it/2a0I,
14,Arrival,2016,https://boxd.it/aNGk,
15,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,
16,Tenet,2020,https://boxd.it/leq4,
17,Interstellar,2014,https://boxd.it/4VZ8,
18,Sorry to Bother You,2018,https://boxd.it/f21E,
19,Annihilation,2018,https://boxd.it/9yzm,
20,The Girl with All the Gifts,2016,https://boxd.it/d2lg,
21,The Martian,2015,https://boxd.it/8SeG,
22,Contagion,2011,https://boxd.it/13rq,
23,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,
24,Jurassic Park,1993,https://boxd.it/2aA2,
25,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,
26,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI,
27,TRON: Legacy,2010,https://boxd.it/1Dlo,
28,WALL·E,2008,https://boxd.it/1VEo,
29,Mars Attacks!,1996,https://boxd.it/2bd4,
30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
31,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
32,After Yang,2021,https://boxd.it/lx5a,
33,Alita: Battle Angel,2019,https://boxd.it/e0rS,
