Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-07,Watching my favourite movies is a love language ,,https://boxd.it/j1eO4,And Devyn I am in lesbians with you

Position,Name,Year,URL,Description
1,The Fifth Element,1997,https://boxd.it/71k,
2,An American Werewolf in London,1981,https://boxd.it/29yk,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,Shiva Baby,2020,https://boxd.it/oIv0,
5,Palm Springs,2020,https://boxd.it/lCXQ,
6,A Simple Favor,2018,https://boxd.it/hq92,
