Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-26,women also smoke weed!! it's ok!!,,https://boxd.it/iQMkq,

Position,Name,Year,URL,Description
1,Smiley Face,2007,https://boxd.it/1QG0,
2,Ocean's Eight,2018,https://boxd.it/eaai,
3,Bad Teacher,2011,https://boxd.it/yXA,
4,Never Goin' Back,2018,https://boxd.it/hDQe,
5,Booksmart,2019,https://boxd.it/igNS,
6,Election,1999,https://boxd.it/1YEc,
7,Plan B,2021,https://boxd.it/rUMy,
8,Whip It,2009,https://boxd.it/1A3m,
9,Nine to Five,1980,https://boxd.it/1F2S,
