Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-09,xavier,,https://boxd.it/mcbXw,

Position,Name,Year,URL,Description
1,About Elly,2009,https://boxd.it/18Ry,
2,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
3,The Craft,1996,https://boxd.it/1Zai,
4,The Hunger,1983,https://boxd.it/1Tk2,
5,Son of the White Mare,1981,https://boxd.it/10f2,
6,Monte Carlo,2011,https://boxd.it/hqk,
7,Looper,2012,https://boxd.it/ham,
8,Erin Brockovich,2000,https://boxd.it/2al2,
9,Liquid Sky,1982,https://boxd.it/1CBA,
10,Cruising,1980,https://boxd.it/1qzW,
11,All About Evil,2010,https://boxd.it/2tuW,
12,Fear Street: 1994,2021,https://boxd.it/lLBk,
13,Monsters,2010,https://boxd.it/Tdy,
14,Cloud Atlas,2012,https://boxd.it/2W60,
15,Hellboy,2019,https://boxd.it/gjaA,
16,The Old Guard,2020,https://boxd.it/jY2e,
17,The Island,2005,https://boxd.it/28qE,
18,Identity,2003,https://boxd.it/26e2,
19,Tomb Raider,2018,https://boxd.it/bgbA,
20,From Dusk Till Dawn,1996,https://boxd.it/29HQ,
21,Zoolander 2,2016,https://boxd.it/aNBE,
22,Lou,2022,https://boxd.it/fdFK,
23,Cruella,2021,https://boxd.it/bbKg,
