Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-09-30,50 First Dates,2004,https://boxd.it/3h0KEN,2,,"i have such a habit of rating movies that are unaware of their moral rancidness they're portraying as lower than is fair for the overall quality, and I'm working on being fairer to movies. but oh my lord this accidental horror makes me break out in hives just thinking about it",,2013-09-14
2022-10-06,Bram Stoker's Dracula,1992,https://boxd.it/3ikj93,2.5,,"Can't recall Bram Stoker's writing being this sexually fuelled, nor Dracula's power to arouse his victims,,, did appreciate his shadow choking Johnathan, Keanu's performance in this was rough to watch",film society,2022-10-05
2022-10-10,Inglourious Basterds,2009,https://boxd.it/3jggqB,2.5,Yes,"the first half has all of the long drawn out wanky scenes typical of a Quentin movie, interspaced with fun short scenes.  the second? fast-paced action and tension that is darkly funny and mildly rewarding.

all favour gained with the bastards was lost as the only 2 female characters are killed. I don't care because they're women, this is a movie where almost everyone dies, and you're meant to feel sad, that some of the good guys lost. Quentin typically has a good grasp on character motivation, but then has Shoshana die because she felt sympathy? for the man who was seconds away from assaulting her.  The actress dies in a brutal and lingering shot of her being strangled, the most drawn-out death of the movie.

Why was it as brutal and long as it was? at a point where the audience already understands the evil of the nazi, and knew her fate the second he started talking to the group in the lobby... it was unnecessary, aside from the fetishization of women's pain. 

If Quentin simply didn't bother to write women, I feel this movie would have been better off",femme attic,2022-10-07
2022-10-10,I Care a Lot,2020,https://boxd.it/3jghxt,3,,"What a brilliant movie, with a perfect, continuous,  building of tension. I feared this woman, i respected her, i wanted her above all to not get away with her crimes, and was enthralled to see who would win. the first 90 minutes of this movie are phenomenal, so i imagine they simply spent all their efforts on that, as the ending of this movie felt flaccid, like someone else finished the movie after reading a synopsis of what had been done so far..",femme attic,2022-10-09
2022-10-11,What If,2013,https://boxd.it/3jo621,1.5,Yes,"shout out to Adam Driver for being a lad. but I don't need more fuel for the ""can men and women just be friends?"" fire. 
Writers really loved showing how funny the main couple we’re but I don’t think it helped to throw in multiple homeless people jokes, and a cheeky transphobic one",Ruby,2022-10-10
2022-10-12,This Is Where I Leave You,2014,https://boxd.it/3jwZPN,3,,I don't actually have siblings so can't confirm this movie's accuracy.,,2022-10-11
2022-10-12,Greener Grass,2019,https://boxd.it/3jzBnB,2,,I tried to enjoy it as I can see so many people Love this weird movie. But I just couldn't immerse myself in the world,,2022-10-12
2022-10-13,Saving Face,2004,https://boxd.it/3jNqiN,3,,just wish the chemistry between val and will was more than viv chasing will and waiting around,,2022-10-13
2022-10-18,Die Hard,1988,https://boxd.it/3kXn2V,2,Yes,I miss the feeling of watching this with the ignorance of being 17,femme attic,2022-10-18
2022-11-04,The Brothers Grimm,2005,https://boxd.it/3ov01v,0.5,,"When I was 3 years old my father had to babysit me but thought that would be boring. so he rented 3 movies, mars attacks, something animated, and this movie. 

He let me watch it in full, making it my first horror movie and also making it the source of nightmares for me for 12 years.

I would tell my parents that I felt like the dreams came from a movie and my Father Gaslit  Me for 12 Years that it was ALL in my head

So glad I was able to search up the right buzzwords to find this abomination. will try not to show it to any children...",,
2022-11-21,"Love, Death & Robots: Jibaro",2022,https://boxd.it/3s7Kdb,0.5,,"what a beautiful rape analogy,,, that frames it's stand-in for woman as a tantalising object that man cannot resist tearing apart.

Rape stories are one of those things, wherein, someone involved in the writing process should possibly be part of the affected group. Rather than a bunch of men who made something visually interesting, and fundamentally flawed.",,2022-11-21
2022-11-25,2001: A Space Odyssey,1968,https://boxd.it/3sMs4x,1.5,,Eat shit and die,all-nighter,2022-11-25
2022-12-03,The Unbearable Weight of Massive Talent,2022,https://boxd.it/3uBdmn,4,,The perfect movie to watch tipsy with no knowledge of what’s about to happen to you,femme attic,2022-12-03
2022-12-08,The Shape of Water,2017,https://boxd.it/3vGqsd,5,,"I cried at her sweetness, at their moments of small joys. She’s a freak, she doesn’t fit in, she’s my world.",femme attic,2022-12-08
2022-12-09,You Don't Mess with the Zohan,2008,https://boxd.it/3vLaih,0.5,Yes,"I felt my brain atrophying trying to watch this move. By the 30 minute mark my flat had enough and started skipping around the rest of the movie. Every. Time. We. Pressed. Play. It would either be a fucking hummus gag, him saying “silky smooth”, or sexual assault as a laugh. 

One day Adam sandler will die by my hands",femme attic,2022-12-07
2022-12-10,Battle Royale,2000,https://boxd.it/3w4DNB,3.5,,"I appreciate their attempt to turn a complex book into a confusing complex movie. 

I actually didn’t realise I was watching the extended edition until after finishing….But basketball was never, and has never been this important… and 3 requiems is more obscene that a child getting their throat slit with a sickle",femme attic,2022-12-10
2022-12-19,Monster Hunter,2020,https://boxd.it/3ydN9d,1,,👎,femme attic,2022-12-19
2022-12-29,The Adam Project,2022,https://boxd.it/3Bvsfd,4,,"This movie can’t be as cathartic to watch, objectively, as when I’ve been reflecting recently on how I processed my dads death when I was younger.

2 hours of a discussion on grief and it’s affects, interspaced with action scenes was just not what I expected putting a Ryan Reynolds comedy.",,2022-12-29
2023-01-01,Kissing Jessica Stein,2001,https://boxd.it/3CCQVl,2,,Some of the dialogue in this movie is very witty. But holy shit watching a straight girl try to make 'Gay' work is not what I needed,,2023-01-01
2023-01-01,Malignant,2021,https://boxd.it/3CE8AR,1,,"I wanted to like this, but very personally it had almost all of my worst triggers in the first 30 minutes of film.

Marking it as watched more as reminder for myself than anything else",femme attic,2022-12-18
2023-01-03,Glass Onion,2022,https://boxd.it/3DwBvT,3,,Mr Blanc is an icon. But netflix got their Netflix on this a bit too much,femme attic,2023-01-03
2023-01-04,Being John Malkovich,1999,https://boxd.it/3DVOGv,4.5,Yes,He/him lesbianism and puppet sex,femme attic,2023-01-04
2023-01-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/3GYQt7,4,,"I am so scared of forgetting!!! I journal as much as I can! Make sure to take photos as much as I can. And the fear of forgetting my friends and love and moment of happiness can cause me paralysis sometiemes. 

This movie made me look at that feeling very directly, and remember how important it is to hold onto your positive memories even if they’re a water drop of light in a pool of shit


The causal sexism though!! Holy Christ! I did not like these character, and I want so badly to give this movie a power rating, but the editing and cuts and music are all too insane and beautifully done,,,,",femme attic,2023-01-12
2023-01-14,Abraham Lincoln: Vampire Hunter,2012,https://boxd.it/3HB3WH,1.5,,🤡🤡🤡,commonroom core,2023-01-13
2023-01-16,Moon,2009,https://boxd.it/3IpCKh,2,,"What,,, what a nothing movie. Decent enough concept. But Jesus how did a <100 minute movie  feel like 4 hours,  and I spent half of it just craving Sam Rockwell’s death",femme attic,2023-01-16
2023-01-17,The Menu,2022,https://boxd.it/3IJoPR,5,Yes,Yea it still fucks,commonroom core,2023-01-17
2023-02-02,After Hours,1985,https://boxd.it/3NG3bF,1.5,,"no,,, go on,,, make him More pathetic",femme attic,2023-02-02
2023-02-08,Once,2007,https://boxd.it/3PwI5r,2.5,,Very good sound!!! but I’m sorry I did not care enough about anyone,femme attic,2023-02-08
2023-02-10,Akira,1988,https://boxd.it/3Q0nQB,4,,I want to be able to eat and live inside some of the shots from this film. I am losing my mind,femme attic,2023-02-10
2023-02-18,High Fidelity,2000,https://boxd.it/3S9n2R,4,,I’ve never said “kill yourself” so much while watching a film before,femme attic,2023-02-18
2023-02-20,Scream,1996,https://boxd.it/3SGa55,4.5,,Mmmm the homoerotic nature of murdering with your close pal,femme attic,2023-02-19
2023-02-20,Practical Magic,1998,https://boxd.it/3SOlRF,2,Yes,"Wow,,, oh,,, wow",femme attic,2023-02-19
2023-02-20,Alita: Battle Angel,2019,https://boxd.it/3SOn0D,4,,Minus the love interest and ending just being a setup for a sequel?? Such lovely world building and detailed character designs everywhere!!,,2023-02-20
